model_id,snr_db,metric,n,mean,std,ci95_low,ci95_high,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026
M0,-20,accuracy,5,0.0959090909090909,0.0041160841536988235,0.09079829740186607,0.10101988441631574,0.10045454545454545,0.09227272727272727,0.09136363636363637,0.0959090909090909,0.09954545454545455
M0,-20,macro_f1,5,0.03179808879124249,0.00799436972049747,0.021871767720970492,0.04172440986151449,0.04136389079067003,0.02766673940909323,0.021371252486574375,0.030696620941679374,0.037891940328195456
M0,-20,balanced_accuracy,5,0.0959090909090909,0.004116084153698828,0.09079829740186605,0.10101988441631575,0.10045454545454545,0.09227272727272727,0.09136363636363636,0.0959090909090909,0.09954545454545455
M0,-20,prediction_concentration,5,0.9117272727272727,0.02229683296637838,0.8840420979589578,0.9394124474955876,0.8963636363636364,0.9045454545454545,0.95,0.8963636363636364,0.9113636363636364
M0,-20,normalized_prediction_entropy,5,0.20002700732275963,0.04209621265916858,0.14775765560314047,0.2522963590423788,0.22570840883654078,0.21436741832453163,0.1281929332132057,0.23262203431652126,0.19924424192299875
M0,-20,gini,5,0.848809917355372,0.014625834442046449,0.8306495452849944,0.8669702894257497,0.8443801652892563,0.8443801652892563,0.8714876033057851,0.8317355371900826,0.8520661157024794
M0,-20,hhi,5,0.8328322314049588,0.04068696927606749,0.7823126864588431,0.8833517763510744,0.8052611570247934,0.8194731404958677,0.9028099173553719,0.8048115702479339,0.8318053719008265
M0,-20,dominant_predicted_class_ratio,5,0.9117272727272727,0.02229683296637838,0.8840420979589578,0.9394124474955876,0.8963636363636364,0.9045454545454545,0.95,0.8963636363636364,0.9113636363636364
M0,-18,accuracy,5,0.09309090909090909,0.0032997620750693686,0.0889937133196573,0.09718810486216087,0.09,0.09136363636363637,0.09272727272727273,0.09272727272727273,0.09863636363636363
M0,-18,macro_f1,5,0.03382739467147931,0.005330147054337222,0.027209142968976942,0.04044564637398168,0.035787494218126055,0.031151446379651226,0.02605691147286293,0.03630281392509585,0.03983830736166054
M0,-18,balanced_accuracy,5,0.09309090909090909,0.0032997620750693686,0.0889937133196573,0.09718810486216087,0.09,0.09136363636363637,0.09272727272727273,0.09272727272727273,0.09863636363636363
M0,-18,prediction_concentration,5,0.8987272727272726,0.026485611250371112,0.8658410427672663,0.9316135026872789,0.8745454545454545,0.8922727272727272,0.9422727272727273,0.8822727272727273,0.9022727272727272
M0,-18,normalized_prediction_entropy,5,0.22261776900388316,0.04853620479387232,0.16235211090188695,0.2828834271058794,0.26325666656965613,0.2401918884728303,0.14298448909114891,0.2544443624116854,0.21221143847409515
M0,-18,gini,5,0.841404958677686,0.018422153123394625,0.8185308343749699,0.8642790829804022,0.8282644628099173,0.8292561983471074,0.8692561983471075,0.8287603305785125,0.8514876033057852
M0,-18,hhi,5,0.8099379338842976,0.04747020907428195,0.7509958842895561,0.868879983479039,0.7674834710743802,0.7976202479338842,0.8883409090909091,0.7803272727272729,0.8159177685950412
M0,-18,dominant_predicted_class_ratio,5,0.8987272727272726,0.026485611250371112,0.8658410427672663,0.9316135026872789,0.8745454545454545,0.8922727272727272,0.9422727272727273,0.8822727272727273,0.9022727272727272
M0,-16,accuracy,5,0.10045454545454544,0.0035646334412177574,0.09602846844379215,0.10488062246529872,0.09954545454545455,0.09681818181818182,0.09909090909090909,0.10045454545454545,0.10636363636363637
M0,-16,macro_f1,5,0.04535255597667102,0.006177982016787285,0.037681578124875964,0.05302353382846607,0.047480450969482633,0.040290595760473086,0.03769602445014038,0.04867103568369969,0.05262467301955931
M0,-16,balanced_accuracy,5,0.10045454545454544,0.0035646334412177644,0.09602846844379215,0.10488062246529872,0.09954545454545455,0.09681818181818182,0.09909090909090908,0.10045454545454545,0.10636363636363638
M0,-16,prediction_concentration,5,0.8671818181818182,0.02506273121325308,0.836062327137664,0.8983013092259723,0.8463636363636363,0.86,0.9086363636363637,0.85,0.8709090909090909
M0,-16,normalized_prediction_entropy,5,0.28119416562941835,0.04281262903022459,0.22803526549413514,0.33435306576470153,0.3148979175596068,0.2925477320959391,0.2114764490208409,0.3147636069904243,0.2722851224802806
M0,-16,gini,5,0.8115867768595042,0.017577717793570587,0.7897611575046419,0.8334123962143665,0.8008264462809916,0.8087603305785124,0.8365289256198348,0.7913223140495869,0.8204958677685948
M0,-16,hhi,5,0.7548739669421488,0.04320344622373155,0.701229803167809,0.8085181307164886,0.7196190082644628,0.7422037190082644,0.8266070247933885,0.7251702479338842,0.7607698347107438
M0,-16,dominant_predicted_class_ratio,5,0.8671818181818182,0.02506273121325308,0.836062327137664,0.8983013092259723,0.8463636363636363,0.86,0.9086363636363637,0.85,0.8709090909090909
