model_id,seed,total_parameters,additional_conditioner_parameters,parameter_increase_percent,latency_basis,latency_mean_ms,latency_median_ms,batch_1_latency_basis,batch_1_latency_mean_ms,batch_1_latency_median_ms,fixed_batch_size,flops_available,flops_value,flops_unavailable_reason,memory_available,memory_value,memory_unavailable_reason
M4,2022,124263,220,0.17735785171271254,mixed_bins.fixed_batch,2.332019997993484,2.3772499916958623,mixed_bins.batch_1,0.6535599997732788,0.5965500022284687,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M4,2023,124263,220,0.17735785171271254,mixed_bins.fixed_batch,3.5372199999983422,3.4990000058314763,mixed_bins.batch_1,1.0238400005619042,1.0100999934365973,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M4,2024,124263,220,0.17735785171271254,mixed_bins.fixed_batch,5.0487099986639805,5.005699989851564,mixed_bins.batch_1,1.3767399985226803,1.3662999990629032,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M4,2025,124263,220,0.17735785171271254,mixed_bins.fixed_batch,3.3051100035663694,3.2870499999262393,mixed_bins.batch_1,1.0640999971656129,1.0652999917510897,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M4,2026,124263,220,0.17735785171271254,mixed_bins.fixed_batch,3.461339997011237,3.455700003542006,mixed_bins.batch_1,1.1123200034489855,1.115499995648861,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M5,2022,124555,512,0.4127600912586764,mixed_bins.fixed_batch,1.9507799981511198,1.8252999943797477,mixed_bins.batch_1,0.6800100003601983,0.6562499984283932,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M5,2023,124555,512,0.4127600912586764,mixed_bins.fixed_batch,3.9343900003586896,3.9266499952645972,mixed_bins.batch_1,1.2844299999414943,1.276650007639546,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M5,2024,124555,512,0.4127600912586764,mixed_bins.fixed_batch,4.028729999845382,4.048949995194562,mixed_bins.batch_1,1.2489700035075657,1.2273500033188611,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M5,2025,124555,512,0.4127600912586764,mixed_bins.fixed_batch,5.198260003817268,5.395750005845912,mixed_bins.batch_1,1.8784699961543083,1.8652500002644956,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M5,2026,124555,512,0.4127600912586764,mixed_bins.fixed_batch,3.841659997124225,3.8504999974975362,mixed_bins.batch_1,1.2977699952898547,1.2995500001125038,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M6,2022,124299,256,0.2063800456293382,mixed_bins.fixed_batch,4.3133999992278405,4.281800000171643,mixed_bins.batch_1,1.218850001168903,1.2032999948132783,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M6,2023,124299,256,0.2063800456293382,mixed_bins.fixed_batch,3.638729998783674,3.664049996586982,mixed_bins.batch_1,1.0379799976362847,1.029849998303689,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M6,2024,124299,256,0.2063800456293382,mixed_bins.fixed_batch,3.685000001860317,3.707600000780076,mixed_bins.batch_1,1.1462900030892342,1.1295000003883615,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M6,2025,124299,256,0.2063800456293382,mixed_bins.fixed_batch,5.582520001917146,5.523299987544306,mixed_bins.batch_1,1.8098500033374876,1.819150013034232,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M6,2026,124299,256,0.2063800456293382,mixed_bins.fixed_batch,3.7648500001523644,3.769349990761839,mixed_bins.batch_1,1.0563099960563704,1.050149992806837,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M7,2022,975452,851409,686.3821416766766,mixed_bins.fixed_batch,3.611519996775314,3.4632999886525795,mixed_bins.batch_1,0.7798599981470034,0.7251999923028052,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M7,2023,975452,851409,686.3821416766766,mixed_bins.fixed_batch,4.5120100025087595,4.526950004219543,mixed_bins.batch_1,1.0632800025632605,1.065450007445179,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M7,2024,975452,851409,686.3821416766766,mixed_bins.fixed_batch,5.161369999404997,5.1088000036543235,mixed_bins.batch_1,1.2462300001061521,1.255199997103773,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M7,2025,975452,851409,686.3821416766766,mixed_bins.fixed_batch,4.810810001799837,4.802449999260716,mixed_bins.batch_1,1.140410001971759,1.149300005636178,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
M7,2026,975452,851409,686.3821416766766,mixed_bins.fixed_batch,5.099519997020252,5.074899992905557,mixed_bins.batch_1,1.2223500001709908,1.2163499923190102,64,False,,no validated FLOP counter supports the custom lifting modules,False,,portable reliable CPU peak-memory instrumentation is unavailable
