model_id,metric,n,mean,std,ci95_low,ci95_high,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026
M0,overall_accuracy,5,0.6181954545454545,0.0009668578228399368,0.6169949419954526,0.6193959670954565,0.6180454545454546,0.6182272727272727,0.6169772727272728,0.6180454545454546,0.6196818181818182
M0,macro_f1,5,0.639500947709075,0.0009648065259552547,0.6383029821805642,0.6406989132375857,0.6389667988226908,0.6394932250225094,0.6411480900767775,0.6387094168188124,0.6391872078045847
M0,balanced_accuracy,5,0.6181954545454545,0.0009668578228399377,0.6169949419954526,0.6193959670954565,0.6180454545454546,0.6182272727272728,0.6169772727272728,0.6180454545454546,0.6196818181818182
M0,nll,5,1.061133601533816,0.008756076389187876,1.0502614967158395,1.0720057063517925,1.071686199941142,1.0684123176209273,1.0541621846944869,1.059873131847756,1.0515341735647679
M0,ece,5,0.020890535473346645,0.004966116049069156,0.014724287964315557,0.027056782982377733,0.02297966129682855,0.02816987108835581,0.019291350018436904,0.019074452771521373,0.0149373421915906
M1,overall_accuracy,5,0.6647409090909091,0.0009961962782471163,0.6635039680370651,0.6659778501447531,0.6652272727272728,0.6634318181818182,0.6659090909090909,0.6640227272727273,0.6651136363636364
M1,macro_f1,5,0.6633629780940774,0.002474375595665894,0.6602906349989051,0.6664353211892498,0.6632465368382502,0.6611774194947464,0.6667673340001682,0.6647486376753418,0.6608749624618808
M1,balanced_accuracy,5,0.6647409090909091,0.0009961962782471852,0.663503968037065,0.6659778501447532,0.6652272727272728,0.6634318181818181,0.665909090909091,0.6640227272727273,0.6651136363636364
M1,nll,5,0.8704179526520364,0.01139166077009659,0.8562733375940572,0.8845625677100155,0.8649136128273164,0.8633031645723274,0.8906323515118787,0.8660304941624054,0.8672101401862533
M1,ece,5,0.013771873501482757,0.00801591347203872,0.0038188023305357442,0.02372494467242977,0.012599471432431104,0.010717960856862182,0.02782745140405591,0.009332683027841826,0.008381800786222757
M2,overall_accuracy,5,0.6682272727272728,0.0014456403539808158,0.6664322731453842,0.6700222723091613,0.66975,0.6684772727272728,0.6661136363636364,0.66925,0.6675454545454546
M2,macro_f1,5,0.6670432437207441,0.0037376927001701813,0.6624022852585938,0.6716842021828944,0.6684387858481536,0.6675304402489824,0.6605217267624645,0.6698138385288885,0.6689114272152311
M2,balanced_accuracy,5,0.6682272727272728,0.0014456403539808498,0.6664322731453842,0.6700222723091613,0.6697500000000001,0.6684772727272729,0.6661136363636364,0.66925,0.6675454545454546
M2,nll,5,0.8636886083151083,0.0069786772275139625,0.8550234360466198,0.8723537805835968,0.8709609182201834,0.8648309627477864,0.8696333814236962,0.8575527356480439,0.8554650435358317
M2,ece,5,0.02319004469753345,0.006408808822545505,0.01523245751120804,0.031147631883858863,0.02719654563268466,0.024717369007330674,0.03067568685909267,0.018280068547725306,0.015080553440833956
M3,overall_accuracy,5,0.6679636363636363,0.002279229335463256,0.6651335993541417,0.6707936733731309,0.6659545454545455,0.6695,0.6652954545454546,0.6684545454545454,0.6706136363636364
M3,macro_f1,5,0.668767853567594,0.0031935805140041167,0.6648024996179901,0.672733207517198,0.6633064059365491,0.6711493514494049,0.6686099667743733,0.6702639658277907,0.670509577849852
