classifier_seed,model,condition_source,accuracy,balanced_accuracy,macro_f1,concentration,prediction_entropy,low_snr_accuracy,mid_snr_accuracy,high_snr_accuracy,low_snr_concentration,low_snr_entropy,count
2022,M3,oracle,0.6659090909090909,0.6659090909090909,0.6632573171495398,0.15647727272727271,0.9846217535727215,0.2638311688311688,0.7724242424242425,0.915409090909091,0.18038961038961038,0.9461667855915834,44000
2022,M3,ridge,0.5596363636363636,0.5596363636363636,0.5691858082149124,0.23338636363636364,0.9484710374582418,0.14551948051948052,0.5386363636363637,0.8558181818181818,0.5335064935064935,0.712870191227549,44000
2022,M3,tinycnn,0.5565227272727272,0.5565227272727273,0.5485189182079155,0.19615909090909092,0.9616771090304639,0.1655194805194805,0.5565151515151515,0.8302272727272727,0.2496753246753247,0.9042859921713258,44000
2023,M3,oracle,0.6694318181818182,0.6694318181818182,0.6710886522310964,0.11229545454545455,0.9943913136440302,0.2612987012987013,0.7790909090909091,0.9222272727272727,0.1475974025974026,0.952230524534624,44000
2023,M3,ridge,0.5612272727272727,0.5612272727272727,0.5729643023183214,0.2106818181818182,0.9685761425382363,0.14194805194805193,0.5431818181818182,0.8601363636363636,0.4796103896103896,0.768037067849071,44000
2023,M3,tinycnn,0.5605454545454546,0.5605454545454546,0.5551063915277219,0.15872727272727272,0.9697410542509212,0.16324675324675325,0.5843939393939394,0.8315,0.23253246753246753,0.8971996304512753,44000
2024,M3,oracle,0.6652727272727272,0.6652727272727271,0.6685842927441213,0.16522727272727272,0.968521441852948,0.26266233766233765,0.7775757575757576,0.913409090909091,0.29149350649350647,0.8291819750188384,44000
2024,M3,ridge,0.5624772727272728,0.5624772727272727,0.5787554478521678,0.2560681818181818,0.9457599043713235,0.1440909090909091,0.5490909090909091,0.8593636363636363,0.5835714285714285,0.658340067601166,44000
2024,M3,tinycnn,0.5742045454545455,0.5742045454545455,0.5859119551465062,0.17495454545454545,0.9560655702175065,0.16415584415584417,0.5951515151515151,0.8549545454545454,0.27694805194805194,0.770962343722109,44000
2025,M3,oracle,0.6685,0.6685,0.6703090968918102,0.11972727272727272,0.9896704242881118,0.2672727272727273,0.7722727272727272,0.9182272727272728,0.16077922077922077,0.9298539433942123,44000
2025,M3,ridge,0.5646818181818182,0.5646818181818182,0.5821153238083127,0.23836363636363636,0.9548094362883329,0.14305194805194804,0.5477272727272727,0.864909090909091,0.5440259740259741,0.6951507796355322,44000
2025,M3,tinycnn,0.5665454545454546,0.5665454545454546,0.5694095929132547,0.13668181818181818,0.9857779762139934,0.16,0.5878787878787879,0.8447272727272728,0.16766233766233765,0.910373375550125,44000
2026,M3,oracle,0.6706363636363636,0.6706363636363637,0.6705242075683284,0.1305681818181818,0.9900909959839549,0.26097402597402597,0.7746969696969697,0.9261818181818182,0.15655844155844156,0.9655284591671223,44000
2026,M3,ridge,0.5600909090909091,0.5600909090909091,0.5736866388779119,0.22240909090909092,0.9624707345457741,0.1416883116883117,0.5353030303030303,0.8604090909090909,0.5076623376623377,0.7384053276096199,44000
2026,M3,tinycnn,0.5704545454545454,0.5704545454545454,0.5720941256410623,0.1519090909090909,0.9794109103114901,0.1681168831168831,0.5736363636363636,0.8511363636363637,0.18655844155844156,0.9036221141784059,44000
2022,M6,oracle,0.6680909090909091,0.6680909090909091,0.6632395467715743,0.17831818181818182,0.9671748747284187,0.25902597402597405,0.7780303030303031,0.9214545454545454,0.23655844155844155,0.8993381508651507,44000
2022,M6,ridge,0.5363636363636364,0.5363636363636364,0.5412269205818863,0.2340909090909091,0.9441052834641128,0.1437012987012987,0.5166666666666667,0.8171363636363637,0.5352597402597402,0.7044956329416315,44000
2022,M6,tinycnn,0.5621590909090909,0.5621590909090909,0.5530670435037375,0.19347727272727272,0.9465818216944223,0.16707792207792208,0.5672727272727273,0.8371818181818181,0.23896103896103896,0.8526206868240183,44000
2023,M6,oracle,0.6651363636363636,0.6651363636363636,0.6659148549839359,0.12447727272727273,0.9918571907873361,0.26012987012987016,0.7774242424242425,0.9149545454545455,0.20415584415584415,0.942857472078067,44000
2023,M6,ridge,0.5373636363636364,0.5373636363636365,0.5461154101956445,0.20777272727272728,0.9704622428800777,0.14662337662337663,0.5087878787878788,0.8194545454545454,0.4744155844155844,0.7792317990691,44000
2023,M6,tinycnn,0.5546136363636364,0.5546136363636364,0.5458071842842409,0.1635681818181818,0.9654918556521652,0.16435064935064936,0.573939393939394,0.822,0.25123376623376625,0.8936130844360239,44000
2024,M6,oracle,0.6672954545454546,0.6672954545454545,0.6623105748874838,0.11545454545454545,0.9885984159535753,0.2625974025974026,0.7816666666666666,0.9162727272727272,0.16155844155844157,0.9422967022926275,44000
2024,M6,ridge,0.5360227272727273,0.5360227272727274,0.5453080911656727,0.2329090909090909,0.9544270981407895,0.142012987012987,0.5065151515151515,0.8206818181818182,0.5333116883116883,0.7215701684974288,44000
2024,M6,tinycnn,0.5535,0.5534999999999999,0.5485265210657763,0.1918409090909091,0.9550079857351339,0.15844155844155844,0.563939393939394,0.8269090909090909,0.2990909090909091,0.8485370522320337,44000
2025,M6,oracle,0.6670681818181818,0.6670681818181818,0.6633588289287753,0.12545454545454546,0.9918765865361512,0.2577922077922078,0.7762121212121212,0.9208181818181819,0.1625974025974026,0.9723861285427093,44000
2025,M6,ridge,0.5386363636363637,0.5386363636363637,0.5456952413426239,0.21111363636363636,0.9655794325353899,0.14259740259740258,0.49348484848484847,0.8294090909090909,0.4829220779220779,0.7759578548621641,44000
2025,M6,tinycnn,0.5527272727272727,0.5527272727272726,0.5344121033409982,0.13170454545454546,0.9679273219493567,0.16227272727272726,0.5522727272727272,0.8261818181818181,0.14435064935064934,0.9375763202586624,44000
2026,M6,oracle,0.66875,0.6687500000000001,0.6628691670277531,0.15181818181818182,0.9700725404168918,0.26487012987012987,0.7815151515151515,0.9176363636363636,0.1953896103896104,0.8699101020811554,44000
2026,M6,ridge,0.5440227272727273,0.5440227272727273,0.5529516068069096,0.23447727272727273,0.9475398099773121,0.14402597402597403,0.49787878787878787,0.8378636363636364,0.5360389610389611,0.6969419597949831,44000
2026,M6,tinycnn,0.5526590909090909,0.5526590909090909,0.5463332669267381,0.18209090909090908,0.9264232539137588,0.1618181818181818,0.5454545454545454,0.8284090909090909,0.2697402597402597,0.765999106857623,44000
